role,feature,rank,mean_abs_shap,mean_shap,group,shap_share
starter,delta_w_extSI,53,0.0027063661,-0.0017752878,personal delta,0.0046870834
starter,delta_w_zSL,54,0.0026937998,-0.0021479537,personal delta,0.00466532
starter,delta_w_extCT,55,0.0024923058,-0.00017440955,personal delta,0.004316358
starter,runner_gap_pfx_x,56,0.0024782938,-0.0021847975,runner-context gap,0.004292091
starter,w_pct_SI,57,0.0024703788,-0.00089688227,absolute Statcast,0.004278383
starter,delta_w_zCH,58,0.00237614,0.0005925982,personal delta,0.0041151736
starter,past_shoulder_IL_count,59,0.0023458537,0.00046257096,injury history,0.0040627215
starter,w_vCT,60,0.0023063975,-0.0019279115,absolute Statcast,0.0039943885
starter,w_vCB,61,0.002247142,-0.001745454,absolute Statcast,0.0038917651
starter,w_spin_all,62,0.002161712,-0.0009199675,absolute Statcast,0.003743811
starter,delta_w_spinCH,63,0.0021257584,-0.0007451468,personal delta,0.0036815442
starter,delta_w_zCB,64,0.0019266594,-0.001761232,personal delta,0.00333673
starter,w_pct_CH,65,0.0015118314,-0.001020876,absolute Statcast,0.0026183005
starter,w_xCT,66,0.0014699906,-0.0011258988,absolute Statcast,0.0025458375
starter,past_elbow_IL_count,67,0.0014527875,0.00039503092,injury history,0.0025160438
starter,runner_gap_velocity,68,0.0013253564,-0.00044559714,runner-context gap,0.0022953495
starter,w_vCH,69,0.001105946,2.9179853e-05,absolute Statcast,0.0019153584
starter,days_since_prev_game,70,0.0010610602,-0.0005370424,workload,0.0018376219
starter,w_x_all,71,0.0010382513,-0.00087554654,absolute Statcast,0.0017981197
starter,delta_w_pct_SP,72,0.0010189667,0.00024541595,personal delta,0.0017647211
starter,birth_country,73,0.0010166145,-0.00062431657,demographics,0.0017606475
starter,height_inches,74,0.0008191408,-0.0004062959,demographics,0.001418648
starter,w_zFB,75,0.0008183198,-0.0004932275,absolute Statcast,0.0014172262
starter,delta_w_zCT,76,0.00079933385,-1.9296662e-05,personal delta,0.001384345
starter,w_pct_CT,77,0.00077561825,-0.0004632999,absolute Statcast,0.0013432725
starter,delta_w_vSL,78,0.0007506047,0.00043392702,personal delta,0.0012999523
starter,delta_w_xFB,79,0.00074747036,3.35591e-05,personal delta,0.001294524
starter,delta_w_pct_SL,80,0.00074365444,-6.139545e-05,personal delta,0.0012879153
starter,delta_w_spinFB,81,0.00072134583,-0.00048049225,personal delta,0.0012492796
starter,delta_w_xSI,82,0.0007148865,-0.0003747754,personal delta,0.0012380929
starter,w_pct_CB,83,0.0006545729,-0.00034385134,absolute Statcast,0.0011336374
starter,delta_w_pct_CH,84,0.00060777995,-0.00047678957,personal delta,0.0010525979
starter,w_zSL,85,0.00051375333,-0.0001704957,absolute Statcast,0.00088975567
starter,previous_arm_injury,86,0.00049865386,-0.00033252523,injury history,0.0008636053
starter,w_pct_SL,87,0.0003939142,-0.00028036177,absolute Statcast,0.0006822095
starter,delta_w_xSP,88,0.0003868922,-2.721065e-05,personal delta,0.0006700483
starter,delta_w_extCB,89,0.00038514435,-0.00034876494,personal delta,0.0006670212
starter,delta_w_xCH,90,0.0003501571,-0.00010686616,personal delta,0.0006064277
starter,delta_w_pct_FB,91,0.00029722226,-0.00023562221,personal delta,0.0005147513
starter,n_appearances_window,92,0.00029686937,-0.0002620433,workload,0.0005141401
starter,delta_w_pct_CB,93,0.00028013275,-0.00023917816,personal delta,0.00048515442
starter,w_vSP,94,0.00024426822,-0.00010455801,absolute Statcast,0.0004230416
starter,delta_w_vCT,95,8.801428e-05,-7.940458e-05,personal delta,0.00015242958
starter,delta_w_vSP,96,0.0,0.0,personal delta,0.0
starter,delta_w_spinSP,97,0.0,0.0,personal delta,0.0
starter,delta_w_spinCT,98,0.0,0.0,personal delta,0.0
starter,complete_games_window,99,0.0,0.0,workload,0.0
starter,runner_gap_pfx_z,100,0.0,0.0,runner-context gap,0.0
starter,p_throws,101,0.0,0.0,demographics,0.0
starter,delta_w_zSP,102,0.0,0.0,personal delta,0.0
starter,w_zCT,103,0.0,0.0,absolute Statcast,0.0
