model,cohort,n,n_positive,positive_rate,threshold,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,f2,mcc,seed,regression_mae_days
resnet,test_all,17838,1875,0.1051126793026924,0.0701894838588707,0.5751050972039508,0.1319033304185163,0.0936954393982887,0.3349687457084656,0.3581679560488844,0.1191726332537788,0.7989333333333334,0.2074074074074074,0.3731938216243149,0.0708136328047796,42.0,25.8358154296875
resnet,test_seen,11169,1131,0.1012624204158783,0.0701894838588707,0.6070586501620985,0.1447501117535698,0.0899800434708595,0.3230834007263183,0.3839197779568448,0.119809574186723,0.8010610079575596,0.2084435752904636,0.374813834188317,0.0890188286813706,42.0,25.49158477783203
resnet,test_new,6669,744,0.1115609556436538,0.0701894838588707,0.5174210562134205,0.1123786924864017,0.0999178364872932,0.3548738658428192,0.3150397360923677,0.1182108626198083,0.7956989247311828,0.2058414464534075,0.3707414829659318,0.0366769417415424,42.0,26.359102249145508
resnet,test_bullpen,10947,1042,0.0951858982443809,0.0701894838588707,0.5788963483224995,0.1180813126975968,0.0856582522392273,0.3115545809268951,0.3716086599068238,0.1100868403473614,0.7907869481765835,0.1932684414213674,0.3535570239423324,0.0746586600848671,42.0,25.931819915771484
resnet,test_starter,6891,833,0.1208823099732399,0.0701894838588707,0.5665165703125092,0.1526003901486279,0.1064632683992385,0.3721643388271332,0.3368161369902772,0.1325467059980334,0.8091236494597839,0.2277796552889489,0.4003801829630509,0.060040453774253,42.0,25.715721130371094
resnet,validation_all,24926,2087,0.0837278366088867,0.0665296191970507,0.614146822595778,0.1208369523071138,0.0757492929697036,0.2815186083316803,0.4023108400866565,0.1006795087588055,0.7738380450407283,0.1781774051191527,0.33109188568617,0.0822341917952405,52.0,23.60603904724121
resnet,test_all,17838,1875,0.1051126793026924,0.0665296191970507,0.5747324354235838,0.1363216786489509,0.0936752408742904,0.3351062834262848,0.3370332996972754,0.1177103342297349,0.8170666666666667,0.205775688381464,0.3733853278089203,0.067474764683831,52.0,25.6115837097168
resnet,test_seen,11169,1131,0.1012624204158783,0.0665296191970507,0.6010851514025659,0.1485013832602775,0.0899770185351371,0.3233781456947326,0.3484644999552332,0.1173100871731008,0.8328912466843501,0.205654404540989,0.3751792257447825,0.0850811479553345,52.0,24.89131736755371
resnet,test_new,6669,744,0.1115609556436538,0.0665296191970507,0.5316940020870197,0.1194643071261059,0.0998689085245132,0.3547481596469879,0.3178887389413705,0.1183550651955867,0.793010752688172,0.205969628207366,0.3705564627559352,0.0371299429419313,52.0,26.70650100708008
resnet,test_bullpen,10947,1042,0.0951858982443809,0.0665296191970507,0.5840323766763136,0.1252974771075403,0.0855228900909423,0.3111165165901184,0.3376267470539874,0.1087586641461877,0.8282149712092131,0.1922691322268018,0.3565231760720482,0.0750668930398622,52.0,25.31743049621582
resnet,test_starter,6891,833,0.1208823099732399,0.0665296191970507,0.5590594441804454,0.1528923111533123,0.1066260263323783,0.373216301202774,0.3360905528950805,0.1316929133858267,0.8031212484993998,0.226281075596144,0.3976462196861626,0.0555415083417321,52.0,25.979536056518555
resnet,validation_all,24926,2087,0.0837278366088867,0.0577840682758827,0.6190236092135795,0.1216245867955613,0.075696937739849,0.2809708714485168,0.3283318623124448,0.0987350090356497,0.8639195016770483,0.1772164340475722,0.3387951444999812,0.0896837918262121,62.0,23.89523124694824
resnet,test_all,17838,1875,0.1051126793026924,0.0577840682758827,0.574432608741047,0.1363369649140212,0.0937080681324005,0.3353481888771057,0.2848413499271219,0.1134555271383915,0.8517333333333333,0.2002382295780828,0.3700871338524286,0.0526178071879012,62.0,25.784076690673828
resnet,test_seen,11169,1131,0.1012624204158783,0.0577840682758827,0.6019636874131175,0.1495861362782418,0.0900403782725334,0.3237077295780182,0.3250962485450801,0.1131505856780582,0.8284703801945181,0.1991075223119422,0.3658727059742288,0.0667293567130046,62.0,25.06597328186035
resnet,test_new,6669,744,0.1115609556436538,0.0577840682758827,0.5189274533823329,0.1179777965772568,0.0998506247997284,0.3548431992530823,0.2174239016344279,0.1138912855910267,0.8870967741935484,0.2018657287046949,0.3762398814274313,0.0190598229044274,62.0,26.87569046020508
resnet,test_bullpen,10947,1042,0.0951858982443809,0.0577840682758827,0.5575013007447914,0.1178680205481657,0.0860947296023368,0.3153445124626159,0.3214579336804604,0.1026630164260826,0.791746641074856,0.1817580964970258,0.3380039331366765,0.0423318524835167,62.0,25.57091522216797
resnet,test_starter,6891,833,0.1208823099732399,0.0577840682758827,0.5819419877558154,0.1583145493133324,0.1058025956153869,0.367125928401947,0.2266724713394282,0.1278145695364238,0.9267707082833132,0.2246471700858431,0.4118651301749893,0.0566530899000908,62.0,26.05071830749512
